cola,colb,colc,cold,cole,colf,colg
CG.A.2,23.05,0.002,0.116,0.035,0.589,32491
CG.A.4,15.06,0.003,0.067,0.021,0.351,18211
CG.A.8,13.38,0.004,0.072,0.023,0.210,9890
CG.B.2,867.45,0.002,0.864,0.232,3.256,228562
CG.B.4,501.61,0.003,0.438,0.136,2.075,123862
CG.B.8,384.65,0.004,0.457,0.108,1.235,63777
MG.A.2,112.27,0.002,0.846,0.237,3.930,236473
MG.A.4,59.84,0.003,0.442,0.128,2.070,123875
MG.A.8,31.38,0.003,0.476,0.114,1.041,60627
MG.B.2,526.28,0.002,0.821,0.238,4.176,236635
MG.B.4,280.11,0.003,0.432,0.130,1.706,123793
MG.B.8,148.29,0.003,0.442,0.116,0.893,60600
LU.A.2,2116.54,0.002,0.110,0.030,0.532,28754
LU.A.4,1102.50,0.002,0.069,0.017,0.255,14915
LU.A.8,574.47,0.003,0.067,0.016,0.192,8655
LU.B.2,9712.87,0.002,0.357,0.104,1.734,101975
LU.B.4,4757.80,0.003,0.190,0.056,0.808,53522
LU.B.8,2444.05,0.004,0.222,0.057,0.548,30134
CG.B.2,867.45,0.002,0.864,0.232,3.256,228562
CG.B.4,501.61,0.003,0.438,0.136,2.075,123862
CG.B.8,384.65,0.004,0.457,0.108,1.235,63777
MG.A.2,112.27,0.002,0.846,0.237,3.930,236473
MG.A.4,59.84,0.003,0.442,0.128,2.070,123875
MG.A.8,31.38,0.003,0.476,0.114,1.041,60627
MG.B.2,526.28,0.002,0.821,0.238,4.176,236635
MG.B.4,280.11,0.003,0.432,0.130,1.706,123793
MG.B.8,148.29,0.003,0.442,0.116,0.893,60600
LU.A.2,2116.54,0.002,0.110,0.030,0.532,28754
LU.A.4,1102.50,0.002,0.069,0.017,0.255,14915
LU.A.8,574.47,0.003,0.067,0.016,0.192,8655
LU.B.2,9712.87,0.002,0.357,0.104,1.734,101975
LU.B.4,4757.80,0.003,0.190,0.056,0.808,53522
LU.B.8,2444.05,0.004,0.222,0.057,0.548,30134
EP.A.2,123.81,0.002,0.010,0.003,0.074,1834
EP.A.4,61.92,0.003,0.011,0.004,0.073,1743
EP.A.8,31.06,0.004,0.017,0.005,0.073,1661
EP.B.2,495.49,0.001,0.009,0.003,0.196,2011
EP.B.4,247.69,0.002,0.012,0.004,0.122,1663
EP.B.8,126.74,0.003,0.017,0.005,0.083,1656
